Iteration,Memory,Runtime
0,275228325,0.023
1,275228325,0.024
2,275228325,0.022
3,275228325,0.023
4,275228325,0.022
5,275228325,0.021
6,275228325,0.022
7,275228325,0.03
8,275228325,0.021
9,275228325,0.02
10,275228325,0.021
11,275228325,0.02
12,275228325,0.022
13,275228325,0.02
14,275228325,0.021
15,275228325,0.021
16,275228325,0.021
17,275228325,0.021
18,275228325,0.021
19,275228325,0.021
20,275228325,0.022
21,275228325,0.02
22,275228325,0.021
23,275228325,0.02
24,275228325,0.022
25,275228325,0.021
26,275228325,0.021
27,275228325,0.021
28,275228325,0.021
29,275228325,0.02
30,275228325,0.021
31,275228325,0.02
32,275228325,0.021
33,275228325,0.021
34,275228325,0.021
35,275228325,0.02
36,275228325,0.021
37,275228325,0.021
38,275228325,0.02
39,275228325,0.021
40,275228325,0.021
41,275228325,0.02
42,275228325,0.02
43,275228325,0.024
44,275228325,0.021
45,275228325,0.021
46,275228325,0.02
47,275228325,0.02
48,275228325,0.021
49,275228325,0.021
50,275228325,0.021
51,275228325,0.022
52,275228325,0.022
53,275228325,0.021
54,275228325,0.021
55,275228325,0.021
56,275228325,0.021
57,275228325,0.021
58,275228325,0.022
59,275228325,0.021
60,275228325,0.021
61,275228325,0.02
62,275228325,0.021
63,275228325,0.02
64,275228325,0.021
65,275228325,0.02
66,275228325,0.021
67,275228325,0.023
68,275228325,0.02
69,275228325,0.021
70,275228325,0.02
71,275228325,0.025
72,275228325,0.036
73,275228325,0.022
74,275228325,0.022
