Iteration,Memory,Runtime
0,9785896,0.297
1,9785896,0.3
2,9785896,0.292
3,9785896,0.282
4,9785896,0.299
5,9785896,0.295
6,9785896,0.284
7,9785896,0.299
8,9785896,0.303
9,9785896,0.303
10,9785896,0.282
11,9785896,0.298
12,9785896,0.315
13,9785896,0.297
14,9785896,0.307
15,9785896,0.286
16,9785896,0.292
17,9785896,0.294
18,9785896,0.286
19,9785896,0.285
20,9785896,0.305
21,9785896,0.289
22,9785896,0.324
23,9785896,0.295
24,9785896,0.291
25,9785896,0.311
26,9785896,0.313
27,9785896,0.305
28,9785896,0.292
29,9785896,0.314
30,9785896,0.279
31,9785896,0.29
32,9785896,0.296
33,9785896,0.29
34,9785896,0.286
35,9785896,0.305
36,9785896,0.308
37,9785896,0.29
38,9785896,0.295
39,9785896,0.293
40,9785896,0.29
41,9785896,0.295
42,9785896,0.3
43,9785896,0.283
44,9785896,0.293
45,9785896,0.296
46,9785896,0.299
47,9785896,0.306
48,9785896,0.299
49,9785896,0.287
