Iteration,Memory,Runtime
0,342506360,0.056
1,342506360,0.053
2,342506360,0.044
3,342506360,0.041
4,342506360,0.044
5,342506360,0.04
6,342506360,0.045
7,342506360,0.045
8,342506360,0.067
9,342506360,0.045
10,342506360,0.043
11,342506360,0.042
12,342506360,0.042
13,342506360,0.041
14,342506360,0.041
15,342506360,0.04
16,342506360,0.04
17,342506360,0.041
18,342506360,0.042
19,342506360,0.041
20,342506360,0.086
21,342506360,0.043
22,342506360,0.063
23,342506360,0.041
24,342506360,0.047
25,342506360,0.048
26,342506360,0.046
27,342506360,0.062
28,342506360,0.049
29,342506360,0.067
30,342506360,0.048
31,342506360,0.052
32,342506360,0.056
33,342506360,0.056
34,342506360,0.049
35,342506360,0.052
36,342506360,0.074
37,342506360,0.049
38,342506360,0.046
39,342506360,0.043
40,342506360,0.048
41,342506360,0.044
42,342506360,0.046
43,342506360,0.042
44,342506360,0.045
45,342506360,0.045
46,342506360,0.047
47,342506360,0.057
48,342506360,0.052
49,342506360,0.058
50,342506360,0.051
51,342506360,0.045
52,342506360,0.062
53,342506360,0.049
54,342506360,0.074
55,342506360,0.06
56,342506360,0.048
57,342506360,0.059
58,342506360,0.047
59,342506360,0.051
60,342506360,0.046
61,342506360,0.05
62,342506360,0.057
63,342506360,0.065
64,342506360,0.05
65,342506360,0.064
66,342506360,0.063
67,342506360,0.052
68,342506360,0.047
69,342506360,0.04
70,342506360,0.045
71,342506360,0.048
72,342506360,0.042
73,342506360,0.042
74,342506360,0.042
