Iteration,Memory,Runtime
0,342506360,0.058
1,342506360,0.052
2,342506360,0.055
3,342506360,0.061
4,342506360,0.047
5,342506360,0.051
6,342506360,0.048
7,342506360,0.047
8,342506360,0.054
9,342506360,0.061
10,342506360,0.066
11,342506360,0.049
12,342506360,0.039
13,342506360,0.076
14,342506360,0.06
15,342506360,0.055
16,342506360,0.042
17,342506360,0.054
18,342506360,0.053
19,342506360,0.045
20,342506360,0.046
21,342506360,0.051
22,342506360,0.063
23,342506360,0.044
24,342506360,0.046
25,342506360,0.061
26,342506360,0.052
27,342506360,0.047
28,342506360,0.064
29,342506360,0.047
30,342506360,0.044
31,342506360,0.04
32,342506360,0.056
33,342506360,0.058
34,342506360,0.042
35,342506360,0.041
36,342506360,0.052
37,342506360,0.045
38,342506360,0.042
39,342506360,0.039
40,342506360,0.046
41,342506360,0.047
42,342506360,0.044
43,342506360,0.04
44,342506360,0.042
45,342506360,0.047
46,342506360,0.056
47,342506360,0.08
48,342506360,0.054
49,342506360,0.045
