Iteration,Memory,Runtime
0,342506360,0.041
1,342506360,0.051
2,342506360,0.056
3,342506360,0.052
4,342506360,0.045
5,342506360,0.041
6,342506360,0.041
7,342506360,0.041
8,342506360,0.045
9,342506360,0.04
10,342506360,0.041
11,342506360,0.04
12,342506360,0.042
13,342506360,0.061
14,342506360,0.045
15,342506360,0.042
16,342506360,0.041
17,342506360,0.04
18,342506360,0.043
19,342506360,0.046
20,342506360,0.041
21,342506360,0.049
22,342506360,0.043
23,342506360,0.043
24,342506360,0.042
25,342506360,0.047
26,342506360,0.041
27,342506360,0.051
28,342506360,0.04
29,342506360,0.042
30,342506360,0.042
31,342506360,0.042
32,342506360,0.046
33,342506360,0.042
34,342506360,0.042
35,342506360,0.041
36,342506360,0.05
37,342506360,0.041
38,342506360,0.043
39,342506360,0.042
40,342506360,0.043
41,342506360,0.044
42,342506360,0.041
43,342506360,0.045
44,342506360,0.044
45,342506360,0.042
46,342506360,0.043
47,342506360,0.051
48,342506360,0.047
49,342506360,0.041
