Iteration,Memory,Runtime
0,342506360,0.057
1,342506360,0.053
2,342506360,0.054
3,342506360,0.064
4,342506360,0.069
5,342506360,0.059
6,342506360,0.055
7,342506360,0.053
8,342506360,0.053
9,342506360,0.053
10,342506360,0.053
11,342506360,0.053
12,342506360,0.053
13,342506360,0.053
14,342506360,0.042
15,342506360,0.04
16,342506360,0.041
17,342506360,0.04
18,342506360,0.058
19,342506360,0.06
20,342506360,0.056
21,342506360,0.065
22,342506360,0.045
23,342506360,0.046
24,342506360,0.054
25,342506360,0.043
26,342506360,0.109
27,342506360,0.041
28,342506360,0.044
29,342506360,0.041
30,342506360,0.045
31,342506360,0.04
32,342506360,0.042
33,342506360,0.043
34,342506360,0.041
35,342506360,0.042
36,342506360,0.041
37,342506360,0.052
38,342506360,0.049
39,342506360,0.046
40,342506360,0.041
41,342506360,0.041
42,342506360,0.043
43,342506360,0.047
44,342506360,0.044
45,342506360,0.04
46,342506360,0.041
47,342506360,0.045
48,342506360,0.048
49,342506360,0.043
