Iteration,Memory,Runtime
0,4892948,0.023409
1,4892948,0.019686
2,4892948,0.024421
3,4892948,0.019312
4,4892948,0.02583
5,4892948,0.019322
6,4892948,0.020372
7,4892948,0.026713
8,4892948,0.022135
9,4892948,0.020154
10,4892948,0.027078
11,4892948,0.019459
12,4892948,0.019613
13,4892948,0.022276
14,4892948,0.022321
15,4892948,0.018261
16,4892948,0.019258
17,4892948,0.018343
18,4892948,0.02177
19,4892948,0.018786
20,4892948,0.024496
21,4892948,0.019262
22,4892948,0.027037
23,4892948,0.019895
24,4892948,0.018793
25,4892948,0.026852
26,4892948,0.023
27,4892948,0.019247
28,4892948,0.022678
29,4892948,0.026181
30,4892948,0.019618
31,4892948,0.019588
32,4892948,0.024934
33,4892948,0.028968
34,4892948,0.024316
35,4892948,0.019356
36,4892948,0.020953
37,4892948,0.025806
38,4892948,0.018323
39,4892948,0.028699
40,4892948,0.019733
41,4892948,0.025678
42,4892948,0.020385
43,4892948,0.026151
44,4892948,0.018731
45,4892948,0.025807
46,4892948,0.019426
47,4892948,0.023055
48,4892948,0.028591
49,4892948,0.019298
