Iteration,Memory,Runtime
0,4892948,0.020257
1,4892948,0.019605
2,4892948,0.023252
3,4892948,0.019959
4,4892948,0.021263
5,4892948,0.035494
6,4892948,0.022072
7,4892948,0.021271
8,4892948,0.023815
9,4892948,0.021239
10,4892948,0.026661
11,4892948,0.023725
12,4892948,0.019704
13,4892948,0.027462
14,4892948,0.022742
15,4892948,0.02461
16,4892948,0.024556
17,4892948,0.021279
18,4892948,0.020405
19,4892948,0.025933
20,4892948,0.024653
21,4892948,0.018471
22,4892948,0.028105
23,4892948,0.027307
24,4892948,0.024086
25,4892948,0.019302
26,4892948,0.0191
27,4892948,0.018341
28,4892948,0.02035
29,4892948,0.027467
30,4892948,0.025058
31,4892948,0.032309
32,4892948,0.025929
33,4892948,0.022051
34,4892948,0.019498
35,4892948,0.02545
36,4892948,0.025164
37,4892948,0.023114
38,4892948,0.019265
39,4892948,0.023995
40,4892948,0.024856
41,4892948,0.019635
42,4892948,0.019613
43,4892948,0.019804
44,4892948,0.025428
45,4892948,0.019203
46,4892948,0.020008
47,4892948,0.018561
48,4892948,0.021922
49,4892948,0.020282
