Iteration,Memory,Runtime
0,4892948,0.018626
1,4892948,0.022837
2,4892948,0.022688
3,4892948,0.0301
4,4892948,0.027502
5,4892948,0.023837
6,4892948,0.020446
7,4892948,0.026267
8,4892948,0.017734
9,4892948,0.018555
10,4892948,0.017208
11,4892948,0.010369
12,4892948,0.019422
13,4892948,0.019297
14,4892948,0.017669
15,4892948,0.018836
16,4892948,0.017533
17,4892948,0.030079
18,4892948,0.019259
19,4892948,0.023124
20,4892948,0.024467
21,4892948,0.018194
22,4892948,0.015248
23,4892948,0.024424
24,4892948,0.017846
25,4892948,0.018386
26,4892948,0.01869
27,4892948,0.020493
28,4892948,0.026013
29,4892948,0.021228
30,4892948,0.018316
31,4892948,0.019059
32,4892948,0.027023
33,4892948,0.019431
34,4892948,0.022446
35,4892948,0.030752
36,4892948,0.019779
37,4892948,0.020269
38,4892948,0.019125
39,4892948,0.019844
40,4892948,0.025281
41,4892948,0.018464
42,4892948,0.01817
43,4892948,0.020415
44,4892948,0.019841
45,4892948,0.025144
46,4892948,0.02
47,4892948,0.017663
48,4892948,0.011972
49,4892948,0.025139
