Iteration,Memory,Runtime
0,275228325,0.541
1,275228325,0.548
2,275228325,0.539
3,275228325,0.544
4,275228325,0.544
5,275228325,0.604
6,275228325,0.55
7,275228325,0.547
8,275228325,0.552
9,275228325,0.547
10,275228325,0.6
11,275228325,0.778
12,275228325,0.599
13,275228325,0.552
14,275228325,0.575
15,275228325,0.541
16,275228325,0.546
17,275228325,0.54
18,275228325,0.593
19,275228325,0.553
20,275228325,0.536
21,275228325,0.613
22,275228325,0.6
23,275228325,0.605
24,275228325,0.555
25,275228325,0.543
26,275228325,0.543
27,275228325,0.542
28,275228325,0.552
29,275228325,0.543
30,275228325,0.544
31,275228325,0.543
32,275228325,0.548
33,275228325,0.535
34,275228325,0.546
35,275228325,0.537
36,275228325,0.539
37,275228325,0.545
38,275228325,0.54
39,275228325,0.54
40,275228325,0.782
41,275228325,0.615
42,275228325,0.578
43,275228325,0.604
44,275228325,0.624
45,275228325,0.6
46,275228325,0.556
47,275228325,0.595
48,275228325,0.547
49,275228325,0.52
50,275228325,0.532
51,275228325,0.532
52,275228325,0.552
53,275228325,0.518
54,275228325,0.586
55,275228325,0.541
56,275228325,0.542
57,275228325,0.547
58,275228325,0.542
59,275228325,0.522
60,275228325,0.574
61,275228325,0.574
62,275228325,0.588
63,275228325,0.54
64,275228325,0.533
65,275228325,0.537
66,275228325,0.548
67,275228325,0.541
68,275228325,0.588
69,275228325,0.541
70,275228325,0.537
71,275228325,0.539
72,275228325,0.548
73,275228325,0.597
74,275228325,0.716
