Iteration,Memory,Runtime
0,275228325,0.632
1,275228325,0.55
2,275228325,0.544
3,275228325,0.559
4,275228325,0.562
5,275228325,0.55
6,275228325,0.557
7,275228325,0.558
8,275228325,0.571
9,275228325,0.561
10,275228325,0.575
11,275228325,0.565
12,275228325,0.575
13,275228325,0.563
14,275228325,0.592
15,275228325,0.637
16,275228325,0.559
17,275228325,0.545
18,275228325,0.558
19,275228325,0.548
20,275228325,0.551
21,275228325,0.551
22,275228325,0.552
23,275228325,0.55
24,275228325,0.556
25,275228325,0.568
26,275228325,0.546
27,275228325,0.552
28,275228325,0.543
29,275228325,0.546
30,275228325,0.552
31,275228325,0.546
32,275228325,0.601
33,275228325,0.558
34,275228325,0.552
35,275228325,0.547
36,275228325,0.553
37,275228325,0.602
38,275228325,0.549
39,275228325,0.552
40,275228325,0.551
41,275228325,0.561
42,275228325,0.56
43,275228325,0.559
44,275228325,0.572
45,275228325,0.564
46,275228325,0.552
47,275228325,0.557
48,275228325,0.55
49,275228325,0.558
