Iteration,Memory,Runtime
0,275228325,0.556
1,275228325,0.552
2,275228325,0.629
3,275228325,0.557
4,275228325,0.578
5,275228325,0.545
6,275228325,0.581
7,275228325,0.551
8,275228325,0.578
9,275228325,0.551
10,275228325,0.58
11,275228325,0.551
12,275228325,0.613
13,275228325,0.616
14,275228325,0.563
15,275228325,0.613
16,275228325,0.587
17,275228325,0.55
18,275228325,0.611
19,275228325,0.556
20,275228325,0.542
21,275228325,0.551
22,275228325,0.545
23,275228325,0.598
24,275228325,0.553
25,275228325,0.546
26,275228325,0.548
27,275228325,0.549
28,275228325,0.545
29,275228325,0.552
30,275228325,0.55
31,275228325,0.538
32,275228325,0.552
33,275228325,0.643
34,275228325,0.638
35,275228325,0.558
36,275228325,0.601
37,275228325,0.547
38,275228325,0.545
39,275228325,0.603
40,275228325,0.559
41,275228325,0.554
42,275228325,0.546
43,275228325,0.561
44,275228325,0.554
45,275228325,0.558
46,275228325,0.549
47,275228325,0.551
48,275228325,0.557
49,275228325,0.557
50,275228325,0.547
51,275228325,0.559
52,275228325,0.557
53,275228325,0.605
54,275228325,0.557
55,275228325,0.548
56,275228325,0.547
57,275228325,0.559
58,275228325,0.546
59,275228325,0.553
60,275228325,0.607
61,275228325,0.555
62,275228325,0.562
63,275228325,0.561
64,275228325,0.609
65,275228325,0.585
66,275228325,0.559
67,275228325,0.6
68,275228325,0.619
69,275228325,0.632
70,275228325,0.604
71,275228325,0.559
72,275228325,0.548
73,275228325,0.553
74,275228325,0.552
