Iteration,Memory,Runtime
0,4892948,0.38957
1,4892948,0.370041
2,4892948,0.394821
3,4892948,0.380972
4,4892948,0.364948
5,4892948,0.392041
6,4892948,0.358922
7,4892948,0.352986
8,4892948,0.381523
9,4892948,0.362059
10,4892948,0.367781
11,4892948,0.371959
12,4892948,0.35918
13,4892948,0.369928
14,4892948,0.385984
15,4892948,0.364534
16,4892948,0.354707
17,4892948,0.413823
18,4892948,0.368171
19,4892948,0.365126
20,4892948,0.376993
21,4892948,0.35417
22,4892948,0.367191
23,4892948,0.377505
24,4892948,0.37338
25,4892948,0.369092
26,4892948,0.377789
27,4892948,0.350707
28,4892948,0.361352
29,4892948,0.383706
30,4892948,0.369668
31,4892948,0.366128
32,4892948,0.384644
33,4892948,0.356311
34,4892948,0.358231
35,4892948,0.373067
36,4892948,0.358311
37,4892948,0.353635
38,4892948,0.380884
39,4892948,0.367681
40,4892948,0.362487
41,4892948,0.374591
42,4892948,0.367129
43,4892948,0.365194
44,4892948,0.408928
45,4892948,0.367336
46,4892948,0.363992
47,4892948,0.392949
48,4892948,0.370696
49,4892948,0.381931
50,4892948,0.37828
51,4892948,0.363254
52,4892948,0.364165
53,4892948,0.39668
54,4892948,0.395427
55,4892948,0.355799
56,4892948,0.381426
57,4892948,0.365942
58,4892948,0.370542
59,4892948,0.350562
60,4892948,0.350253
61,4892948,0.365373
62,4892948,0.357574
63,4892948,0.362464
64,4892948,0.368377
65,4892948,0.372541
66,4892948,0.375461
67,4892948,0.359907
68,4892948,0.37966
69,4892948,0.375012
70,4892948,0.360845
71,4892948,0.368524
72,4892948,0.376328
73,4892948,0.359442
74,4892948,0.352583
