Iteration,Memory,Runtime
0,4892948,0.404605
1,4892948,0.396424
2,4892948,0.424231
3,4892948,0.392305
4,4892948,0.418607
5,4892948,0.39369
6,4892948,0.39911
7,4892948,0.417343
8,4892948,0.387963
9,4892948,0.40049
10,4892948,0.396475
11,4892948,0.390105
12,4892948,0.393798
13,4892948,0.382189
14,4892948,0.417121
15,4892948,0.381495
16,4892948,0.409915
17,4892948,0.400019
18,4892948,0.407686
19,4892948,0.391648
20,4892948,0.397465
21,4892948,0.406162
22,4892948,0.393182
23,4892948,0.413827
24,4892948,0.377759
25,4892948,0.41612
26,4892948,0.401487
27,4892948,0.393377
28,4892948,0.391352
29,4892948,0.38137
30,4892948,0.418942
31,4892948,0.3742
32,4892948,0.402155
33,4892948,0.421818
34,4892948,0.385786
35,4892948,0.403604
36,4892948,0.386411
37,4892948,0.395517
38,4892948,0.378413
39,4892948,0.420069
40,4892948,0.403904
41,4892948,0.400365
42,4892948,0.41263
43,4892948,0.39314
44,4892948,0.407634
45,4892948,0.38491
46,4892948,0.416451
47,4892948,0.394381
48,4892948,0.411344
49,4892948,0.410724
