Iteration,Memory,Runtime
0,4892948,0.017
1,4892948,0.021
2,4892948,0.02
3,4892948,0.019
4,4892948,0.022
5,4892948,0.015
6,4892948,0.019
7,4892948,0.019
8,4892948,0.017
9,4892948,0.019
10,4892948,0.017
11,4892948,0.018
12,4892948,0.017
13,4892948,0.018
14,4892948,0.021
15,4892948,0.017
16,4892948,0.017
17,4892948,0.019
18,4892948,0.018
19,4892948,0.016
20,4892948,0.023
21,4892948,0.017
22,4892948,0.016
23,4892948,0.016
24,4892948,0.017
25,4892948,0.018
26,4892948,0.018
27,4892948,0.018
28,4892948,0.018
29,4892948,0.016
30,4892948,0.019
31,4892948,0.018
32,4892948,0.014
33,4892948,0.017
34,4892948,0.017
35,4892948,0.016
36,4892948,0.017
37,4892948,0.02
38,4892948,0.019
39,4892948,0.018
40,4892948,0.016
41,4892948,0.017
42,4892948,0.018
43,4892948,0.018
44,4892948,0.016
45,4892948,0.016
46,4892948,0.02
47,4892948,0.019
48,4892948,0.018
49,4892948,0.021
