Iteration,Memory,Runtime
0,9785896,0.06
1,9785896,0.056
2,9785896,0.062
3,9785896,0.059
4,9785896,0.057
5,9785896,0.059
6,9785896,0.06
7,9785896,0.061
8,9785896,0.059
9,9785896,0.058
10,9785896,0.057
11,9785896,0.058
12,9785896,0.059
13,9785896,0.06
14,9785896,0.064
15,9785896,0.063
16,9785896,0.061
17,9785896,0.058
18,9785896,0.059
19,9785896,0.058
20,9785896,0.058
21,9785896,0.059
22,9785896,0.06
23,9785896,0.061
24,9785896,0.062
25,9785896,0.062
26,9785896,0.062
27,9785896,0.057
28,9785896,0.061
29,9785896,0.06
30,9785896,0.063
31,9785896,0.059
32,9785896,0.059
33,9785896,0.061
34,9785896,0.059
35,9785896,0.058
36,9785896,0.061
37,9785896,0.06
38,9785896,0.061
39,9785896,0.06
40,9785896,0.065
41,9785896,0.059
42,9785896,0.059
43,9785896,0.059
44,9785896,0.061
45,9785896,0.059
46,9785896,0.061
47,9785896,0.061
48,9785896,0.061
49,9785896,0.061
